major
Business Admin
Computer Science
Economics
Art History
Intelligence & Cyber Ops
Public Policy
Jazz Studies
Real Estate
Design
BioPharm Marketing
Financial Math
Health Promotion
Architecture
Data Science
Quant Bio
Philosophy Politics & Econ
Global Health
Sociology
Environmental Engineering
International Relations
Political Science
Political Economy
BioPharm Science
Tech Design & Business
